common_name,genus,species,first_flower_ttr,first_flower_UT,first_flower_season
showy milkweed,Asclepias,speciosa,May,May,spring
green antelopehorn,Asclepias,viridis,Mar,Apr,spring
common buttonbush,Cephalanthus,occidentalis,May,Jun,spring/summer
eastern purple coneflower,Echinacea,purpurea,Apr,Apr,spring
common sunflower,Helianthus,annuus,Jan,Jun,spring
tall blazing star,Liatris,aspera,Jul,Aug,summer
cardinalflower,Lobelia,cardinalis,Jul,May,spring/summer
wild bergamot,Monarda,fistulosa,Apr,May,spring
spider milkweed,Asclepias,asperula,May,Mar,spring
swamp milkweed,Asclepias,incarnata,July,Jun,summer
broadleaf milkweed,Asclepias,latifolia,May,Jul,spring/summer
aquatic milkweed,Asclepias,perennis,Mar,May,spring
butterfly milkweed,Asclepias,tuberosa,Apr,May,spring
wavy-leaved thistle,Cirsium,undulatum,Jun,May,spring
lanceleaf tickseed,Coreopsis,lanceolata,Mar,Mar,spring
tickseed,Coreopsis,tinctoria,NA,NA,NA
purple prairie clover,Dalea,purpurea,Apr,Jun,spring
rattlesnake master,Eryngium,yuccifolium,May,May,spring
pinkscale blazing star,Liatris,elegans,Jul,Aug,summer
blackeyed Susan,Rudbeckia,hirta,Jan,Mar,spring
Goodding's willow,Salix,gooddingii,Mar,Feb,spring
wrinkleleaf goldenrod,Solidago,rugosa,NA,Aug,summer
Missouri goldenrod,Solidago,missouriensis,Jul,Jul,summer
white heath aster,Symphyotrichum,ericoides,Aug,Jul,summer
New England aster,Symphyotrichum,novae-angliae,NA,Aug,summer
golden crownbeard,Verbesina,encelioides,NA,Apr,spring
